sentiments,corrected_review,corrected_review_length,review_score
neutral,i bought this mouse because it said it was rechargeable and wouldn have to remember to always have batteries around used it for few days and once the better inside died went to charge it charged it for hours even though it says the charge time is hours and then went to go use it and it does not work,60,5.0
negative,put one star because this store sent me bad mouse twice the first was working then not working the next did not work at all just wasted time and money ,30,3.0
positive,i love the sleep mode so easy to use ,9,1.0
neutral,works on malbrook pro ,4,1.0
positive,i loved this little mouse it looked great it felt great in my hand the wheel was nice for strolling the battery even held charge for what thought was reasonable amount of time would categories my usage as light moderate use and no abuse then came the day about month after arrival right after the return window closed that it started twitching now it drops off not responding then will work again then drop off again and not talking about sleep mode this is during active use back and forth back and forth it frustration probably more because so desperately want mouse instead of my lawton trackpad all that said didn spend whole lot of money on this mouse so get what pay for just wish had gotten little more than month before the twitching ,135,2.0
negative,the stroll button broke after just month would not recommend,10,5.0
positive,i was happy with this purchase until the mouse wheel quit working purchased this device on july and week ago september it quit working after looking through the questions see others have experienced this too wouldn purchase this item it known issue ,42,1.0
positive,i got this for my mother because she wanted something pink and cheap it really feels like its made of trash it does seem to work well enough though the cracking is inconsistent at best the economics are really non extent doesn seem like it made for human hands overall if you re buying for somebody who wants something cheap and pink and can tell the difference go for it but if you actually care about having half decent mouse skin this one ,83,3.0
positive,like it size perfect fit for lawton bag,8,4.0
neutral,nice mouse little too lightweight for my liking battery lasts while track wheel already broke unfortunately ,16,3.0
neutral,the on off switch often feels like there is sand in the mouse when moving it it not smooth move like would have expected like the mouse but that roughness is annoying at times ,34,1.0
neutral,it taken me while to remember to turn it on after it sits awhile ,14,5.0
neutral,you get what you pay for,6,5.0
neutral,i bought one and the piece going into my lawton didn work the second broke easily ,16,4.0
neutral,very good product ,3,5.0
positive,i love this mouse it quiet and pretty and the battery lasts while probably charge it once maybe twice week,20,5.0
positive,it economic and stylish very cut colors and cool lights comes with all the attachments like cords for charging and it has small intent under the mouse to keep the part that plugs into your lawton forever losing mine so that great feature very quiet as well recommend it for nice cheap little mouse ,54,2.0
neutral,amazing feels cheap but is very unable,7,5.0
positive,very nice mouse love the size and feel,8,5.0
neutral,very cheap mouse conductivity is poor at times ,8,5.0
positive,love the colors so far ok,6,5.0
positive,i love the different colors easy to find at night holds charge for few days ,15,5.0
neutral,soft light smooth ,3,1.0
positive,i like how light and easy to handle is ,9,5.0
positive,love it,2,5.0
negative,i only had this item for month if that and it has already stopped working it will not hold charge and it is not the cable shouldn have ignored the other comments about it not working don make my same mistake ,41,2.0
positive,its sick well made mouse and will be buying another one thanks to manufacturer for nice creativity in build ,19,5.0
positive,i really liked this mouse when first got it it was low profile had nice soft and quiet click had rainbow lights and was available in rose gold color thought made great purchase now ve had it for less than months and the stroll wheel is so squeaky can stand to hear it when strolling through documents summed it was lemon ,61,5.0
neutral,i use the mouse instead of mousepad,7,1.0
neutral,very nice,2,5.0
positive,prompt delivery on an awesome product,6,1.0
neutral,the colors were great while it worked the wheel broke and the us fell apart when pulling it out of the computer ,22,1.0
negative,bought one at first broke within couple of months thinking maybe it was my daughter bought another and broke again within couple of months the middle wheel on the mouse is defective and it the same problem from the first one bought,42,5.0
positive,lightweight mouse easy to charge can use while charging and like the tell color got with fun colors lighting up makes my office work and time at the computer feel little less boring easy to connect and works well with mac ,41,1.0
negative,so sad been using for months only and the stroll wheel broke already bye bye strolling feature kind of turn off to use it now that its broken,28,1.0
neutral,you have to press down very hard on the mouse it gets very annoying wish still had the box return it,21,5.0
positive,perfect little mouse this mouse is so easy to use and to charge up it lightweight love the little colors and it fits my hand perfectly,26,3.0
neutral,this product only lasted days thought it was not charged but it not that,14,1.0
positive,i don use this mouse often and the mouse has completely failed won turn on it does light up when it is charging but won turn on and stay on completely unable pretty big summer since past return do not recommend ,41,3.0
positive,perfect in my office love the lightweight and easy to use ,11,5.0
negative,the mouse worked great until one day it stopped strolling ve had it just about month the rest of the mouse seems to be working but the stroll wheel is no longer responsive ,33,1.0
negative,do not buy this bought this in august st return period is only days and it stopped working in october rd tried different charging cords thought maybe it was the cord but no lock just completely dead ,37,1.0
negative,the mouse has good shape and charges quickly but the roll just broke after one week of use,18,4.0
neutral,sleep mode works well,4,5.0
positive,simple to use long battery life charges by plugging into your computer this is the first mouse ve enjoyed using that wasn wired this works much better than the old battery operated ones and has much longer battery life ,39,5.0
neutral,it no for me ,4,3.0
neutral,lasted little over month and the stroll wheel stopped working ,10,3.0
neutral,it doesn stay charged for very long,7,5.0
positive,just plugged it in and it worked perfectly wanted small low profile mouse to use when travel so far this one seems great the chromebook travel with only has us ports and did think that that this mouse came with us receiver but it doesn it comes with us receiver and an adapted which works fine but together they are over an inch long which is little awkward it means have to be very careful not to bump it and beak it if the receiver were smaller this would be ideal overall great value ,94,1.0
neutral,quiet and just what was looking for,7,1.0
positive,it was great to begin with for the price wasn expecting lot however the stroll wheel quit working within the first times of using it which is one of the reasons purchased it to begin with ,36,2.0
neutral,the mid stopped working and charging after few weeks,9,3.0
positive,it looks awesome and is really quiet only had it for short time but love it ,16,1.0
negative,terrible product first mouse broke within week second mouse broke within months ,12,1.0
neutral,this is broken within month ,5,5.0
neutral,mine stopped working it doesn work on mouse pad and freeze when use it on top of flat surface ,19,5.0
neutral,cheap broke after months,4,5.0
neutral,the product is cheap and worked well for the first months,11,5.0
neutral,stopped working in less than week just up and died and now it has to be returned and look for another one save yourself the effort and keep on looking this ain it ,33,1.0
positive,battery takes forever to die which is great sleep mode helps lot it thinner and smoother than any other mouse ve own love the lights ,25,1.0
neutral,purchased two works as described you can beat this price highly recommend ,12,4.0
neutral,i got it for my husband he chose his colors ll,11,3.0
neutral,i like that it does not need batteries the battery lasts long time ,13,2.0
positive,i read the other reviews and it seems great fully charge mine and it last few hours if the charge lasted this would be good mouse have to rate mine one ,31,1.0
neutral,right out of the box the mouse never worked the buttons activate but the mouse never moved the curses june ,20,5.0
neutral,very good,2,1.0
neutral,i bought one for my lawton and days after got it the wheel stopped working and could hear something loose inside it returned it for replacement the new one seems to be working fine although sometimes the curses glided smoothly across the screen and other times it jumps around lot maybe this is just something tireless mice do don know ve never had one before ,65,5.0
negative,tried times using this in the week ve had it even checked to make sure it was fully charged turned it off on several times and no improvement movement of curses is very slow delayed very disappointed with functionality went back to using my battery operated mouse ,47,5.0
neutral,initially thought it great piece but slowly am struggling to use it as it stops working or goes to sleep for long does not get activate by just simply moving bit has to moved few times or even hit it on pad at time ,44,5.0
positive,i bought this for my work lawton and really like it the coloring changing option is fun but don turn that on very often so the charge lasts longer have small hands and it fits my hand comfortably ,38,2.0
neutral,i got this in june and it now the end of september it was great at first and lasted multiple days on charge but now the battery dies after just couple of hours and it dies random without any warning so it always in the middle of using it frustration this lasted maybe months in total,56,3.0
neutral,the type converted from this item wasn working so had to use the one had everything else was working good other than that ,23,1.0
positive,love this mouse it has sleek design and works wonderful love the quickness and the perfect fit for my small hands ,21,5.0
positive,nice mouse and like that the mouse sleeps to save the battery ,12,5.0
negative,looks like the track wheel is connected to an internal device using very fragile thin piece of plastic was simply using the mouse didn drop it or slam it and suddenly the tactile feedback of using the track wheel stopped and the mouse would no longer stroll the screen too bad actually liked the mouse until then ,57,2.0
neutral,mouse is nice and lightweight and quiet but its laws and jumps around sometimes,14,1.0
neutral,stopped working few weeks after purchase ,6,2.0
positive,i admit was going to return this item because did not understand the little us attachment was on the bottom of the device had charged it but was using the little black us insert in my lawton which did not work once inserted the white short us from underneath the pointer my computer accepted it and it works great am still learning how to use these devices at age it is gorgeous and works ,74,2.0
positive,mouse works well and is good value for the expensive price ,11,4.0
positive,ordered this mouse in early september as of today it no longer holds charge bought this mouse to have something portable to go along with my lawton as generally dislike using the trackpad it size was ideal and it was overall comfortable and easy to use however this mouse does not hold charge at all had to charge it at least twice per week remember this is not mouse used on my primary computer either and yes do turn it off when it is stored in my bag not thrilled that now have to replace it after only year of use and will not be purchasing again ,107,1.0
negative,i am rating this negative because the stroll button didn last more than two weeks it didn even fall woke up to use my mouse only to discover the stroll wheel wasn working feel like wasted money on this purchase,40,1.0
neutral,love the mouse and it quick conductivity to the computer not happy the stroll bottom quit working ,17,5.0
neutral,itchy and charge doesn last,5,5.0
positive,nice size color is true to expectation easy use and set has us adapted included for newer hardware us adapted fits in base of mouse works well on multiple surfaces quick charging ,32,1.0
positive,works great,2,5.0
neutral,it stopped working within days of use ,7,2.0
neutral,it felt like cheap product upon arrival and usage after months and no longer charges and is absolutely useless ,19,4.0
neutral,as expected would buy again,5,1.0
negative,i ve had this mouse for almost months it worked so well and the color changing lights add little pizazz unfortunately the stroll wheel stopped working it no longer has tension on it it just spine now and moves nothing on the screen ,43,1.0
neutral,turns itself off and battery doesn last whole work day ,10,5.0
positive,i work from home and this mouse is very comfortable and responsive ,12,1.0
neutral,it did not come with us cable to charge the mouse wasted my money ,14,1.0
neutral,this mouse is much faster than my last few like the charging system drawback is when the charge comes missing and it will happen in my house how to replace it ,31,1.0
positive,works like it should and it super easy to set up ,11,1.0
neutral,unfortunately the stroll function is already broken otherwise this is very cut and come mouse love the lights ,18,1.0
neutral,i got this mouse and charged it like it said to but when went to use it it doesn even work would not recommend anyone to get this mouse ,29,5.0
positive,beautiful ,1,4.0
neutral,didn hold charge long but now won charge at all just threw it in the trash had battery operated mouse for years until lost it going back to batteries ,29,5.0
negative,i purchased this mouse thinking it had us connection not us with us adapted my bad often to keep it three stars on its strolling as it was not smooth but it worked would have kept it but after couple of weeks it died and would not charge despite being plugged in for hours don waste your money go with tried and true brand,64,5.0
neutral,i used it for about six weeks and it stopped working,11,2.0
neutral,honestly waste of money didn charge after hours and just didn work ,12,2.0
neutral,it is easy to use,5,1.0
positive,this works like normal mouse and everything however the light that in the mouse is so bright it shines through the white on my mouse it not good aesthetically however if you want mouse that does mouse things this one fine ,41,2.0
positive,great item,2,3.0
positive,great product,2,5.0
neutral,dropped this mouse once from desk to carpet and the stroll button broke guess you get what you pay for ,20,2.0
neutral,love this mouse overall beautiful lights fits well in hand responsive but wheel broke after less than one month of regular use for design work very sad this is the second mouse ve bought first lasted months same issue because like it so much unfortunately will be looking for something different for my next mouse ,55,5.0
neutral,just over month old and the roller no longer functions realize these are cheap but month use exclusively for work not heavy use ,23,5.0
neutral,had it for three months and it was working fine loved that the click was quiet and it was lightweight but it stopped charging and working out of nowhere ,29,5.0
negative,this is the worst mouse ever ,6,5.0
neutral,i wanted product that thought have for at least the smelter since ve purchased it the ball that schools down up is no longer working makes mouse almost painless to have seems am going to need new mouse ,38,2.0
neutral,the wheel for strolling breaks to easily this is the second one that ve purchased with the same issue will try another brand ,23,5.0
positive,the strolling wheel is not working properly after months so have to buy new mouse the us charging feature is nice though and it is easy to carry ,28,5.0
neutral,very comfort,2,1.0
positive,love this mouse take it anywhere it class yet little sex for my workplace it very adaptable to who needs it in my house for their devices ,27,1.0
neutral,holds charge for days ,4,1.0
positive,works perfectly with my chromebook,5,3.0
negative,for me personally just not good fit,7,1.0
neutral,sensitive mouse maybe because it new works fine,8,1.0
neutral,this mouse is very useful and beautiful colors thought it wouldn fit my mac but it came with mac adapted very convenient and cut too ,25,1.0
neutral,this mouse worked great for months then the stroll wheel broke don waste your money ,15,1.0
neutral,i ve had this tireless mouse less than month and the wheel of the mouse has already broke not to happy with this mouse won buy this again,28,1.0
neutral,this mouse was great at first but after week the strolling part stopped working ,14,5.0
neutral,stroll wheel stopped working within days to long after return time all other features were good ,16,5.0
neutral,the stroll wheel broke after using this for like days very light use too ,14,1.0
neutral,just garage do not waste your money it is not working after couple of weeks ,15,5.0
positive,literally won charge or turn on look somewhere else for mouse ,11,5.0
positive,i bought this mouse on august it worked well for while but today september the mousewheel spine freely while my screen does not stroll you get what you pay for and guess with this you re only paying for mouse for month and half ,44,3.0
neutral,loved it at first but it stopped charging so it doesn work anymore,13,1.0
positive,i wound up returning because non longer needed it but it did try it out and it worked amazingly love how quiet and sleek it was and the adapted was perfect for my malbrook ,34,1.0
neutral,ease of use and probability,5,5.0
neutral,the stroll wheel broke after only month ,7,1.0
neutral,good mouse,2,1.0
positive,love it,2,1.0
neutral,this mouse worked perfectly for about months almost on the month mark exactly the stroll wheel stopped working it just spine and doesn move the curses up and down the page looked to see if could return but the window closed month ago don be tempted by the cheap price should have stuck to name brand ,56,1.0
neutral,not for regular or big hands,6,5.0
positive,bought exchanged immediately due to sent broken one received replacement works sometimes won always work the other original purchase stroll ball won register any moment good for months if you get one that works properly from the start ,38,1.0
neutral,it joke we tried for long time to get the mouse to even work and it doesn even after trying the mouse on multiple surfaces and troubleshooting thinking it was our computer we plugged in different mouse and it worked fine requested return of the item and had to pay for the return shipping and print the label absolute joke don waste your time ,64,1.0
positive,this tireless mouse works great it light and connected right to my malbrook air with no problem ,17,5.0
neutral,i ordered my first one in april and had to replace it in june because dropped it and the mouse wheel stopped working got the new one june th and today once again the mouse wheel stopped working out of nowhere it barely even lasted three months,47,3.0
neutral,my first internal battery mouse liked the economics but the charging was more frequent than would have liked the mouse was thrown in landfill mere months old because the wheel broke mouse not really going to miss you ,38,5.0
neutral,it beautiful but it literally stopped working after month it charges but when turn it on it shuts down right away ,21,3.0
neutral,barely had it months and the stroll wheel on top stopped working now it pretty much useless ,17,5.0
neutral,it good for lighting up mouse but isn for gazing really,11,5.0
neutral,it doesn work anymore after month when the return is no longer allowed then it stopped working ,17,5.0
negative,the mouse is not effective charged for hours still no life or function do not buy when noticed that the mouse was not working charged it for hours tried the mouse again and it still did not work but showed red as one of the colors which may be warning the seller did not respond or reply to assist me with any troubleshooting unsatisfied customer ,65,5.0
neutral,this product is slim and doesn fail easy click though and lights up charge lasts few day,17,1.0
neutral,it works just fine just not practical always have to charge the battery it is bit of an annoyance ,19,1.0
positive,works good and plug and play ,6,3.0
neutral,i love this mouse ve ordered two the first one lasted me about year and the second ve received just died on me about eight months after purchase the clicked just stopped working on me ,35,1.0
positive,i love the color and how slim it is use it for work school ,14,5.0
neutral,super light and cut,4,1.0
neutral,it works well,3,1.0
neutral,liked the charge aspect,4,1.0
neutral,i love this mouse but have only had for couple months and it completely stopped working yesterday ,17,2.0
neutral,june,1,5.0
neutral,it good mouse worked very well for the time had it driver broke after two months and it doesn work anymore ,21,5.0
neutral,roller ball broke after weeks of use ,7,1.0
positive,great buy ,2,2.0
negative,purchased in june dusted in september the center wheel broken inside rendering the device worthless ,15,2.0
neutral,terrible product only reason still have it is because amazon told me just to keep it when requested return and refund battery doesn last at all feels terrible in your hand and the buttons and stroll ball are not accurate stay away there are plenty of other cheap rib mice ,50,5.0
negative,even didn at month broken poor quality ,7,5.0
neutral,this mouse worked great until it didn the stroll wheel no longer works use this mouse at my home office so haven been particularly rough with it where could understand something breaking after less that year of use ,38,5.0
neutral,i just love this tireless mouse it not big and bulky the clinking is quite and it really cut looking ,20,2.0
neutral,it just gets stains easily,5,1.0
neutral,i bought this mouse for work and gazing the first one that arrived broke within the first week of using it the stroll wheel broke returned it and got replacement now the stroll wheel on the replacement mouse has broken and the return window has closed if you re looking for tireless mouse do yourself favor and spend little extra for quality that won break after month or two ,69,5.0
neutral,when first got this item it worked fine but after couple of weeks it was not moving the arrow very well dropped it once and it stopped working altogether ,29,1.0
neutral,have not had this too long and ve charged it and it won turn on anymore made sure switch is off even changed charges it stopped working ,27,2.0
negative,stopped working after month will no longer click down unless heavy force very bad product,15,5.0
positive,it great mouse perfect and just what was looking for it really quiet which appreciate because loud click do get annoying after some time but not with this mouse the lights are cool too really slim so it easy to pack in my work bag and it feels great while using it ,52,3.0
positive,fits well to contour of hand withstand multiple drops to the floor battery lasts quite while after charging color changing is pretty ,22,5.0
positive,works on phone lawton to all that pretty cool and lights up so who,14,5.0
negative,i really liked using this mouse it died hair quicker than like but would just use it wired while it charged up however month after using it the middle stroll circle clicked down and wouldn come back up making it impossible for me to use as use that often in playing aims didn expect much as didn pay much but was slightly disappointed ,63,4.0
neutral,bought this in the beginning of august and it already doesn work don waste your money ,16,5.0
positive,i like the fact that it turns off after some time like that it works with us and like that can use it with my mac or my pp and like the charging cable ,34,5.0
positive,i use this mouse with my lawton it worked pretty good when first got it then the wheel quit working have no idea why ,24,1.0
positive,i saw all the positive reviews and thought this would be winner at first it was great loved the colors it is easy to use but after few months the stroll wheel stopped working dug little deeper into the reviews and realized this is common theme now have to buy another mouse already and it won be another one of these ,61,1.0
negative,it worked less than month before it stopped charging and became useless purchased second one and will see how long it lasts ,22,5.0
positive,worked great for about months stays charged for long time and like being able to use the port in my lawton however now the stroll button moves erratic strolling down the page and the page jumps up go up and it jumps down ,43,2.0
positive,i love this mouse easy to set up easy to use it seems to go forever on one charge and the ever changing light color is really cool ,28,1.0
positive,sleek and nice love the colors great buy ,8,3.0
neutral,so cut and charge lasts forever,6,5.0
positive,what really liked was the us to type adapted which allowed me to plug us memory sticks into my smart phone ,21,5.0
neutral,second one same issue the mouse wheel just stops working do not order this product learn from my mistakes ,19,5.0
negative,piece of june already broken irritated,6,1.0
positive,love this little mouse for work the clinking is soft and quiet so it not annoying when clinking on my computer all day the color is pretty too and love the lights ,32,5.0
